Model_Id,Description,Synset_Id
1d4093ad2dfad9df24be2e4f911ee4af,"A clear blue cylindrical bottle with a narrow neck and a slightly flared opening. The base features two small rounded feet, and the overall surface appears smooth and reflective, giving it a translucent quality.",02876657
27b9f07da9217c89ef026123226f5519,"A cylindrical bottle with a smooth, rounded body, featuring a vibrant red matte finish. It has a transparent neck and cap, contrasting with the opaque body color. The overall shape is sleek and modern, emphasizing a minimalist design approach.",02876657
2ed752a96e55398928beb1ac60ef8914,"A cylindrical, translucent green bottle with a narrow neck and a slightly wider base. The bottle features a smooth surface, with a rounded top and a snug opening designed for a cap or stopper. Its design emphasizes simplicity and functionality, suitable for various liquids.",02876657
331601288075868e342fe691e18bb5fd,"A green glass bottle with a slender neck and a rounded base, featuring a smooth, cylindrical body. The bottle has a slightly flared lip and a minimalistic design, ideal for containing beverages.",02876657
15787789482f045d8add95bf56d3d2fa,"A large, transparent plastic bottle with a tapered neck, featuring a silver-colored screw cap. The bottle has a vibrant red liquid filling its lower section, with a plain, smooth surface and a slight curvature at the base. The cap is highlighted by a thin black ring, enhancing its detail.",02876657
3de5abb596766c5380dd154b5d9c087,"A tall, cylindrical container with a conical top, characterized by a textured surface that gives it a modern, industrial look. The material appears to be a translucent gray plastic, allowing for some light passing through. The lower section is wider with vertical grooves, while the top has a narrower neck, featuring a slight flange at the opening. The overall design suggests a bottle or storage container suitable for liquids.",02876657
30c6b5511ff09ac33526ea1c3de37e7,"A faceted, pink glass perfume bottle featuring a bulbous base, adorned with a crystal-like band around the neck, and topped with a smooth, pastel pink cap. The base has a slightly translucent quality, enhancing the glossy finish and elegance of the design.",02876657
405ee743f0d8601551238db1f507a8c7,"A slender, light blue glass bottle featuring a cylindrical body and a long neck, adorned with a prominent white label. The overall smooth texture complements its elegant silhouette, with the base flaring slightly outward. The muted color and minimalistic design emphasize its modern aesthetic.",02876657
29cad22b0fc6c9985f16c469ffeb982e,"A dark green bottle with a slender, elongated neck, featuring a small beige cork on top. The surface appears smooth and possibly glass-like.",02876657
41a2005b595ae783be1868124d5ddbcb,"A tall, slender bottle with a smooth, cylindrical body and a rounded base, featuring a bright yellow cap. The bottle is rendered in a translucent white material, giving it a sleek appearance. The base is circular and flat, complementing the bottle's design.",02876657
11fc9827d6b467467d3aa3bae1f7b494,"A clear glass bottle featuring a prominent red label on its body, complemented by a small red cap. The bottle has a classic, elongated cylindrical shape, with a slightly wider base tapering towards the neck, maintaining a sleek and elegant appearance.",02876657
1cf98e5b6fff5471c8724d5673a063a6,"A clear glass bottle with a tapered neck and a ridged cap, featuring a central band around its body. The smooth surface reflects light, showcasing its transparency and minimalist design.",02876657
47ebee26ca51177ac3fdab075b98c5d8,"A sleek, cylindrical container with a curved silhouette, featuring a smooth, translucent surface. The upper section has a subtle, flat rim contrasted by a small black band encircling its middle. The overall design emphasizes elegance and modernity, with a seamless, minimalist aesthetic.",02876657
134c723696216addedee8d59893c8633,"A brown, rounded plastic bottle with a silver cap featuring the Pepsi logo prominently displayed on a dark blue label. The bottle has a smooth texture and a slight waist, indicating it’s designed for easy grip. The label encircles the bottle, showcasing the familiar red, white, and blue color scheme associated with the brand.",02876657
3f91158956ad7db0322747720d7d37e8,"A tall, slender brown glass bottle with a narrow neck and a black cap. The bottle is filled with a dark amber liquid, featuring a prominent blue and orange label that displays stylized white text. The glass has a slight sheen, reflecting light and emphasizing the contours of the bottle.",02876657
368bbfbb2fe08a6b4c5c5c89015f1980,"A green glass bottle with a narrow neck and a slight taper toward the base. It features a crimped closure design at the top and has a smooth, cylindrical body. The surface appears glossy, reflecting light subtly, and the overall shape conveys a classic beverage container aesthetic.",02876657
25b8ed5b02f07b6cbcfad79fc308fa6d,"A smooth, rounded container with an elongated, tapered base and a spherical knob on top. The surface has a matte finish, and the color is a soft white, lending an airy and minimalist appearance. The design is both elegant and simple, suitable for decorative or functional purposes.",02876657
22249179e88b0502846564a8a219239b,"A cylindrical glass bottle with a rounded base and a narrow neck, featuring a detailed twist pattern around the neck and a flat cap. The surface appears smooth and sleek, showcasing a subtle grey color. The overall shape conveys a classic and elegant design suitable for liquids like spirits or oils.",02876657
2f4ec01bad6cd5ac488017d48a7f7eb4,"A decorative light bulb with a transparent glass body exhibiting intricate, fine black filament-like patterns within. The bulb features a metallic chrome base, designed for hanging, with a shiny surface that reflects light, while the glass itself has a slightly frosted appearance. The overall color scheme is a combination of clear and gray, adding a modern aesthetic to the piece.",02876657
40aee078f0390b7134076b5960251711,"A tall, cylindrical water bottle with a tapered neck. It features a rectangular, metallic cap at the top, with a smooth, transparent body that transitions from a darker base to a lighter hue. The bottom of the bottle has a noticeably curved design, contributing to its modern aesthetic. The overall color has a soft blue tint, enhancing its appearance as a beverage container.",02876657
